timestamp,cycle,phase,pulse,bench_score,percent_of_baseline,datetime
1747131260,1,start,0,3327.71,100.25457481486836,2025-05-13 10:14:20
1747131290,1,potentiation,2,3275.96,98.69549236878099,2025-05-13 10:14:50
1747131320,1,potentiation,4,3325.89,100.19974331628131,2025-05-13 10:15:20
1747131350,1,depression,1,3318.44,99.9752956984388,2025-05-13 10:15:50
1747131380,1,depression,3,3320.41,100.03464627657972,2025-05-13 10:16:20
1747131410,1,depression,5,3321.18,100.0578442182896,2025-05-13 10:16:50
1747131440,1,forget,15,3324.85,100.16841103137446,2025-05-13 10:17:20
1747131464,2,start,0,3255.84,98.08933316462102,2025-05-13 10:17:44
1747131495,2,potentiation,2,3322.6,100.1006248380663,2025-05-13 10:18:15
1747131525,2,potentiation,4,3320.68,100.04278061977669,2025-05-13 10:18:45
1747131555,2,depression,1,3321.9,100.07953580014821,2025-05-13 10:19:15
1747131585,2,depression,3,3320.34,100.0325373727879,2025-05-13 10:19:45
1747131615,2,depression,5,3324.99,100.17262883895808,2025-05-13 10:20:15
1747131645,2,forget,15,3320.78,100.04579333947927,2025-05-13 10:20:45
1747131669,3,start,0,3134.24,94.4258660062785,2025-05-13 10:21:09
1747131699,3,potentiation,2,3322.38,100.09399685472063,2025-05-13 10:21:39
1747131729,3,potentiation,4,2623.11,79.02695179045932,2025-05-13 10:22:09
1747131759,3,depression,1,3324.35,100.15334743286152,2025-05-13 10:22:39
1747131789,3,depression,3,3321.29,100.06115820996246,2025-05-13 10:23:09
1747131819,3,depression,5,3324.38,100.15425124877231,2025-05-13 10:23:39
1747131849,3,forget,15,3322.56,100.09941975018528,2025-05-13 10:24:09
