timestamp,cycle,phase,temp,freq,recovery_time,error_detected,ipc,l1d_misses_pmc,llc_misses_pmc,branch_misses_pmc,mbw_score_mbps,ecc_ce_count,ecc_ue_count
1747158140,1,pulse,39.0,2700000,N/A,0,N/A,5362841,122350,235067875,7729.58,N/A,N/A
1747158173,1,recovery,39.0,2700000,5.003475549,0,N/A,5317975,114563,242243624,7719.54,N/A,N/A
1747158206,2,pulse,42.0,2700000,N/A,0,N/A,5322923,118879,242500528,7611.19,N/A,N/A
1747158239,2,recovery,39.0,2700000,5.003991096,0,N/A,5530985,120503,243991901,7715.13,N/A,N/A
1747158272,3,pulse,43.0,2700000,N/A,0,N/A,5213956,114961,232663323,7769.04,N/A,N/A
1747158305,3,recovery,41.0,2700000,5.003476576,0,N/A,5141654,112343,241938026,7710.48,N/A,N/A
1747158338,4,pulse,44.0,2700000,N/A,0,N/A,5622142,120913,233251904,7612.42,N/A,N/A
1747158371,4,recovery,43.0,2700000,5.002999879,0,N/A,4872544,114236,238073570,7724.88,N/A,N/A
1747158404,5,pulse,43.0,2700000,N/A,0,N/A,5405656,114585,235584460,7771.00,N/A,N/A
1747158437,5,recovery,43.0,2700000,5.003970907,0,N/A,5260305,119745,239244216,7762.20,N/A,N/A
