timestamp,cycle,phase,temp,bench_score,error_detected,corruption_detected
1747129902,1,potentiation,51,N/A,0,0
1747129913,1,depression,44,N/A,0,0
1747129924,2,potentiation,51,N/A,0,0
1747129935,2,depression,44,N/A,0,0
1747129947,3,potentiation,51,N/A,0,0
1747129958,3,depression,43,N/A,0,0
1747129969,4,potentiation,49,N/A,0,0
1747129980,4,depression,43,N/A,0,0
1747129991,5,potentiation,50,N/A,0,0
1747130002,5,depression,45,N/A,0,0
1747130014,6,potentiation,49,N/A,0,0
1747130025,6,depression,43,N/A,0,0
1747130037,7,potentiation,50,N/A,0,0
1747130048,7,depression,43,N/A,0,0
1747130059,8,potentiation,49,N/A,0,0
1747130070,8,depression,43,N/A,0,0
1747130082,9,potentiation,47,N/A,0,0
1747130093,9,depression,43,N/A,0,0
1747130105,10,potentiation,48,N/A,0,0
1747130117,10,depression,42,N/A,0,0
1747130128,11,potentiation,49,N/A,0,0
1747130140,11,depression,42,N/A,0,0
1747130152,12,potentiation,47,N/A,0,0
1747130163,12,depression,43,N/A,0,0
1747130174,13,potentiation,49,N/A,0,0
1747130185,13,depression,43,N/A,0,0
1747130197,14,potentiation,49,N/A,0,0
1747130208,14,depression,43,N/A,0,0
1747130219,15,potentiation,54,N/A,0,0
1747130230,15,depression,43,N/A,0,0
1747130242,16,potentiation,47,N/A,0,0
1747130253,16,depression,42,N/A,0,0
1747130265,17,potentiation,50,N/A,0,0
1747130276,17,depression,42,N/A,0,0
1747130287,18,potentiation,48,N/A,0,0
1747130298,18,depression,42,N/A,0,0
1747130309,19,potentiation,50,N/A,0,0
1747130320,19,depression,42,N/A,0,0
1747130332,20,potentiation,49,N/A,0,0
1747130343,20,depression,42,N/A,0,0
1747130354,21,potentiation,50,N/A,0,0
1747130365,21,depression,43,N/A,0,0
1747130376,22,potentiation,50,N/A,0,0
1747130387,22,depression,43,N/A,0,0
1747130399,23,potentiation,50,N/A,0,0
1747130410,23,depression,43,N/A,0,0
1747130421,24,potentiation,50,N/A,0,0
1747130432,24,depression,44,N/A,0,0
1747130444,25,potentiation,48,N/A,0,0
1747130455,25,depression,42,N/A,0,0
1747130466,26,potentiation,49,N/A,0,0
1747130477,26,depression,43,N/A,0,0
1747130489,27,potentiation,51,N/A,0,0
1747130500,27,depression,43,N/A,0,0
1747130511,28,potentiation,48,N/A,0,0
1747130522,28,depression,43,N/A,0,0
1747130534,29,potentiation,50,N/A,0,0
1747130545,29,depression,43,N/A,0,0
1747130556,30,potentiation,49,N/A,0,0
1747130567,30,depression,42,N/A,0,0
1747130578,31,potentiation,50,N/A,0,0
1747130589,31,depression,43,N/A,0,0
1747130601,32,potentiation,48,N/A,0,0
1747130612,32,depression,43,N/A,0,0
